brand,product,price
Adidas,Yeezy 750 Boost Light Brown,1578
Adidas,Yeezy 350 Boost Pirate Black,910
Adidas,Yeezy Boost 350 V2 Lundmark Reflective,1009
Adidas,Yeezy 350 Boost V2 Black/Red,954
Nike,Air Yeezy Blink,3142
Nike,Air Yeezy 2 Red October,6075
Nike,Air Yeezy 2 Solar Red,4239
Nike,Air Yeezy 2 Pure Platinum,3448
Nike,Air Yeezy Net,1888
Nike,Air Yeezy Zen Grey,2139
Adidas,Yeezy Boost 350 V2 Black Reflective,1437
Adidas,Yeezy Boost 350 V2 Antlia Reflective,912
Adidas,Yeezy Boost 350 V2 Synth Reflective,1292
Adidas,Yeezy 350 Boost Turtledove,1279
Adidas,Yeezy 750 Boost Glow in the Dark,917
